,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,user_attrs_acc_dev,user_attrs_acc_train,state
0,0,0.7876934185830352,2025-03-26 09:38:03.864653,2025-03-26 10:25:48.840423,0 days 00:47:44.975770,0.9071903760169019,2,0.7713381174282502,0.003112890487741474,1.343357804923973,52,162,0.7876934185830352,0.8080044680388143,COMPLETE
1,1,0.7969818635270741,2025-03-26 10:25:48.842659,2025-03-26 11:14:04.834813,0 days 00:48:15.992154,0.8162963369926204,7,0.8815193260210683,1.1819263613060445e-06,0.0001034862785035592,64,181,0.7969818635270741,0.8201002100493369,COMPLETE
2,2,0.6550395735125045,2025-03-26 11:14:04.838451,2025-03-26 11:38:48.215853,0 days 00:24:43.377402,0.5529176110049043,3,0.4129012573312134,3.230721330791844,4.220041803541564,83,15,0.6550395735125045,0.6571772053203462,COMPLETE
3,3,0.8029659009727582,2025-03-26 11:38:48.218651,2025-03-26 12:33:07.195525,0 days 00:54:18.976874,0.44143688996554853,6,0.6818178997289022,2.4184678857666247e-07,0.00011873660642514144,75,241,0.8029659009727582,0.830864984389202,COMPLETE
4,4,0.6350338890610157,2025-03-26 12:33:07.198806,2025-03-26 12:58:54.378610,0 days 00:25:47.179804,0.9944989584354458,4,0.9200646673811407,0.0022299788193721956,1.4402191468871916e-06,44,9,0.6350338890610157,0.6363875851962776,COMPLETE
5,5,0.8079820453270992,2025-03-26 12:58:54.381800,2025-03-26 13:51:55.164225,0 days 00:53:00.782425,0.594143650762635,6,0.9277160437363813,4.815195955829204e-05,5.577970106001931e-06,73,227,0.8079820453270992,0.8354477968542531,COMPLETE
6,6,0.774049454727953,2025-03-26 13:51:55.167550,2025-03-26 14:37:13.466437,0 days 00:45:18.298887,0.6097577553134239,3,0.4887414456427577,1.3104387335198895e-06,9.645072875630494e-05,73,162,0.774049454727953,0.7934867308781562,COMPLETE
7,7,0.7307976924199632,2025-03-26 14:37:13.469449,2025-03-26 15:13:24.648355,0 days 00:36:11.178906,0.95702923207369,5,0.7278231396479053,0.0028079615748070994,1.4679614227310126e-07,22,53,0.7307976924199632,0.7385951027348437,COMPLETE
8,8,0.8106027823085531,2025-03-26 15:13:24.651809,2025-03-26 16:04:45.722700,0 days 00:51:21.070891,0.5413244197836518,4,0.8866153324048107,1.7042023944885407e-07,4.5147519498536276e-06,34,246,0.8106027823085531,0.8416747192733653,COMPLETE
9,9,0.646156977920259,2025-03-26 16:04:45.725930,2025-03-26 16:31:06.672650,0 days 00:26:20.946720,0.8427427790751835,2,0.5119877245434646,2.4637682540306054e-05,2.172074382181933e-05,65,12,0.646156977920259,0.6478086931099435,COMPLETE
10,10,0.7636394828685483,2025-03-26 16:31:06.676626,2025-03-26 17:07:25.353538,0 days 00:36:18.676912,0.42623715085370784,1,0.9847933414665186,1.2660308853164277e-08,0.031219965329737434,20,87,0.7636394828685483,0.7761398684124613,COMPLETE
11,11,0.8098627793895103,2025-03-26 17:07:25.357367,2025-03-26 18:03:38.019616,0 days 00:56:12.662249,0.6654452563008607,5,0.8463959364603811,5.62878151484029e-05,3.4087430213055664e-08,96,248,0.8098627793895103,0.8388589239789495,COMPLETE
12,12,0.8099242329191195,2025-03-26 18:03:38.023137,2025-03-26 18:59:33.486679,0 days 00:55:55.463542,0.7052350012791382,5,0.8006417969866592,1.936739684727173e-08,2.1211945635137647e-08,97,250,0.8099242329191195,0.8389380003131423,COMPLETE
13,13,0.8000596611349955,2025-03-26 18:59:33.489896,2025-03-26 19:47:55.591460,0 days 00:48:22.101564,0.7295800150817559,4,0.7948087949715504,1.098712036723407e-08,2.2338320367672872e-07,36,201,0.8000596611349955,0.8260831254943682,COMPLETE
14,14,0.7665367607332431,2025-03-26 19:47:55.594512,2025-03-26 20:24:54.400414,0 days 00:36:58.805902,0.5272391563338871,5,0.6423830970626273,9.392871122386136e-08,0.012792476394686506,8,116,0.7665367607332431,0.7823191190986744,COMPLETE
